Tata Open,Tata High,Tata Low,Tata Close,Tata Adj Close,Tata Volume,Daily Return %,MA_10,MA_30,Volatility_10
3321,3339.949951,3292,3332.600098,3266.433105,1400708,-0.678022525,3278.802393,3266.336572,35.88684906
3324,3349,3309,3335.5,3269.275391,1342074,0.087014977,3272.946021,3269.035246,31.50658923
3269.600098,3341.600098,3255.050049,3315.949951,3250.113525,3265394,-0.586119666,3265.722363,3271.897266,26.85916813
3170,3225,3170,3205.649902,3142.003418,1573092,-3.326348639,3248.618823,3270.131372,42.99218781
3249.800049,3249.800049,3201.649902,3216.050049,3152.197021,1162267,0.324430042,3239.576977,3268.416113,52.78733851
3229,3242.800049,3195.100098,3233.699951,3169.496582,1474498,0.548809636,3231.613306,3268.081234,57.02267167
3217,3220.050049,3166.149902,3217.399902,3153.52002,1464013,-0.504072542,3225.134521,3268.582731,62.15218393
3228.050049,3228.050049,3195,3206.75,3143.081543,1422652,-0.331010329,3211.735937,3267.488232,64.12357369
3270,3270,3222.050049,3241.699951,3177.337646,1405955,1.089889096,3201.21897,3265.416854,59.69839147
3214.5,3262.600098,3203.449951,3259.699951,3194.980225,2991060,0.555262958,3191.843848,3261.965104,51.18228964
3199,3199,3177.800049,3193.149902,3129.751465,1919414,-2.041601369,3178.175684,3257.425391,47.14087698
3150,3178.5,3145,3163.25,3100.445313,1355739,-0.936373138,3161.292676,3253.40026,40.67876165
3160.699951,3174,3134.350098,3157.399902,3094.711426,2438421,-0.184937531,3145.752466,3248.978174,31.66104017
3180.5,3184.25,3151.149902,3162.100098,3099.318115,2069643,0.148856819,3141.483936,3242.821224,34.93117559
3170.100098,3178,3155,3161.699951,3098.926025,260949,-0.012650847,3136.156836,3235.669425,37.10991019
3157.800049,3160.399902,3127,3137.399902,3075.108398,1021913,-0.768576817,3126.718018,3227.568514,39.60747559
3105,3160,3105,3157.300049,3094.613525,1587601,0.634290714,3120.827368,3218.792952,39.55884885
3159,3159,3112,3121.850098,3059.867432,1194289,-1.122792643,3112.505957,3208.426286,42.96320051
3150,3155.350098,3128.550049,3144.699951,3082.263672,1793722,0.731934978,3102.99856,3197.613656,37.14845777
3072.649902,3128.399902,3071.449951,3111.75,3049.967773,1517005,-1.047798061,3088.497314,3188.496663,22.77632217
3145,3150,3071,3099.149902,3029.776611,2245977,-0.662012306,3078.499829,3178.492635,24.53017776
3100.75,3110,3052.350098,3103.300049,3033.833984,2054781,0.133916573,3071.838696,3168.692464,26.84377253
3084.899902,3109.899902,3062.050049,3100.75,3031.341064,1665247,-0.082170614,3065.50166,3158.992163,28.28546794
3100,3145,3053.350098,3069.550049,3000.839355,4730645,-1.006211718,3055.653784,3148.585514,32.09095354
3010,3127,3005,3118.550049,3048.742676,3064063,1.596330737,3050.635449,3142.123087,28.26836355
3097.399902,3105,3058.100098,3064.899902,2996.293457,1939879,-1.72035572,3042.753955,3133.695093,31.49047611
3111,3124,3092.449951,3101.949951,3032.513916,1790816,1.208842175,3036.543994,3127.501961,25.72214354
3029.949951,3098,3023,3091.149902,3021.955811,2145875,-0.348163448,3032.752832,3118.998242,24.67513646
2995,3020.699951,2974,2984.949951,2918.133057,1763331,-3.435614565,3016.33977,3106.852433,38.68999995
2990.850098,3019.699951,2950.100098,3004.550049,2937.294434,2817353,0.656631368,3005.072437,3095.137866,43.86854021
3054,3055.850098,2990,2997.300049,2930.206787,2493902,-0.241298486,2995.115454,3083.930322,48.67487789
2980,3049.949951,2980,3035.649902,2967.697998,2739767,1.279473216,2988.501856,3073.877742,47.30326406
3009.399902,3025,2976,3017.449951,2949.905518,2227447,-0.599538094,2980.358301,3063.870809,46.10337874
2959.850098,3025.850098,2926.100098,2994.399902,2927.371338,2925489,-0.763894974,2973.011499,3056.716406,48.27937619
